seller_type,house_type,rooms,area_m2,floor,floors_total,build_type,planning,bathroom,furnished,includes,nearby,commission,description,city,url
Бизнес,,,,,,,,,,,,,"ОписаниеSotuvda 3 xonali kvartira | Buyuk Ipak Yo‘liJoylashuv: Buyuk Ipak Yo‘li metro bekati, Sayram ko‘chasiHolati: YaxshiXususiyatlari:Qavat: 1 / 4Umumiy maydon: 76 m²Xonalar: 3 taBalkon: 2x6Qurilish turi: G‘ishtliNarxi: 83000 dollarIpoteka: MumkinMo‘ljal: Sayram ko‘chasi, Buyuk Ipak Yo‘li metroBog‘lanish: +998 97 342 54 44 — BakhytbekHavola: https://t.me/BahutRealtor#МирзоУлугбек #3хона #ипотека---Продается 3 комнатная квартира | Буюк Ипак ЙулиЛокация: м. Буюк Ипак Йули, улица СайрамСостояние: ХорошееХарактеристики:Этаж: 1 / 4Общая площадь: 76 м²Комнат: 3Балкон: 2x6Дом кирпичныйЦена: 83000 долларовИпотека возможнаОриентир: улица Сайрам, метро Буюк Ипак ЙулиКонтакт: +998 97 342 54 44 — БахытбекСсылка: https://t.me/BahutRealtor#MirzoUlugbek #3комнаты #ипотека",,https://www.olx.uz/d/obyavlenie/biy-3-1-4-metro-ipoteka-ID45Qn1.html
Бизнес,,,,,,,,,,,,,"ОписаниеSotuvda 2 xon kvartira""Mega Tower"" Turar-joy majmuasiMo'ljal: Mega Planet, Yunusobod tumaniXona soni: 2Qavat: 11Uy qavatligi: 13Kvadrat: 47 м2Holati: Evro remontMebel+TexnikaNarxi: 70.000 y.e+998909946644 Ulugbek",,https://www.olx.uz/d/obyavlenie/mega-tower-sotuvda-2-xonalik-uy-remont-mega-planet-yunusobod-tumani-ID42fne.html
Бизнес,,,,,,,,,,,,,"ОписаниеБуюк ипак йули.Комнат 2Этаж    1Этажность 5Общая площадь:52м2Новый ремонт, все раздельно. Парковка, отдельный вход с улицы.ЦЕНА: 72.500 у.е.+998900131730https://t.me/M_UlugbekM2#2ком",,https://www.olx.uz/d/obyavlenie/2-1-4-buyuk-ipak-yuli-maksim-gorkiy-ID452ke.html
Бизнес,,,,,,,,,,,,,ОписаниеМирабадский районОриентир- ГоспитальныйНовостройкаЖК Mirabad AvenueКомнат : 2Этаж : 7Этажность : 10Площадь : 70 кв.мСостояние : Хороший ремонтС мебелью и техникойЦена : 245 000y.e+998900070022,,https://www.olx.uz/d/obyavlenie/prodazha-novostroyka-zhk-mirabad-avenue-2-7-10-70m2-evro-remont-ID46fUp.html
Бизнес,,,,,,,,,,,,,"ОписаниеЯнги Уйлар ( Новостройка )Хонадонлар сотувдаКадастр хужжатлари тайёр !2-хона 46 кв.м 42.000$2-хона 49 кв.м 44.000$Хонадонлар холати :- хоналари бўлинган- қора сувоқда- счетчиклар ўрнатилганХонадонлар сони чекланган !Кредит йуқ , ипотека йуқСубсидия йу́қМанзил: Тошкент шахарМиробод туманиФайзабод махаласиМу́ллжал: РИСОВЫЙ мостМалумот учун телефон :+998(97)709-9997+998(97)788-6666",,https://www.olx.uz/d/obyavlenie/novostroyka-2-hona-46-kv-m-balkon-kadastr-tayer-fayzabod-risiviy-b-r-ID401Wc.html
Частное лицо,,,,,,,,,,,,,"Описание2-комнатная квартира | 47 м² | Куйлюк-1, рядом метроПродается 2-комнатная квартира в отличном состоянии!Куйлюк-1, ориентир — мебельныйРядом новая станция метро, развитая инфраструктура:  Корзинка школы, детские сады, магазины, аптеки — всё рядом!• 4 этаж из 4 (крыша новая, не течет)• Площадь: 47 м²• Качественный ремонт• Мебель и техника остаются• Заходи и живиИдеальный вариант для проживания или сдачи в аренду.Я собственник2 xonali kvartira | 47 m² | Kuylyuk-1, metroga yaqinA’lo holatdagi 2 xonali kvartira sotiladi!Kuylyuk-1, mo‘ljal — mebel bozoriYangi metro bekati yaqin, rivojlangan infratuzilma: Korzinka, maktablar, bog‘chalar, do‘konlar, dorixonalar — hammasi yaqin!• 4-qavatli uyning 4-qavati (tom yangi, oqmaydi)• Maydoni: 47 m²• Sifatli ta’mir• Mebel va texnika qoladi• Kir va yashang — hech nima xarid qilish shart emasYashash yoki ijaraga berish uchun ideal variant.Men egasiman",,https://www.olx.uz/d/obyavlenie/2-komnatnaya-kvartira-47-m-kuylyuk-1-svoya-ID400Zf.html
Частное лицо,,,,,,,,,,,,,"ОписаниеУдобная локация, спальный район, спешой доступности расположены Корзинка, магазины, кафе, поликлиника, школа, детский сад. Также, учитывая расположение квартиры, можно использовать как не жилое помещение. С двух сторон имеется свой закрытый двор/огород.",,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-m-ulugbek-massiv-a-yugnakiy-ID465Yj.html
Бизнес,,,,,,,,,,,,,"ОписаниеЯнги Уйлар ( Новостройка 3 қаватли )Хонадонлар сотувдаКадастр хужжатлари тайёр !1-хона 33 кв.м 29.400$Хонадонлар холати :- без ремнот- қора сувоқда- хоналари бўлинган- счетчиклар ўрнатилганИпотека йуқ ,Субсидия йу́қ ,Кредит йуқМанзил: Тошкент шахарМиробод туманиФайзабод махаласиМу́ллжал: РИСОВЫЙ мостШошилинг сони чекланган !Малумот учун телефон :+998(97)709-9997+998(97)788-6666",,https://www.olx.uz/d/obyavlenie/1-hona-33-kv-m-yangi-uylar-novostroyka-kadastr-tayer-mllzhalrisovyy-ID41YE7.html
Частное лицо,,,,,,,,,,,,,"ОписаниеПродается однокомнатная квартира в ЖК "" OzMakon - 1 "" от GoldenHouse.  (Ипотеки нет)Продажа через Переуступку при участии самого GoldenHouse.Дом будет полностью завершен (ориентировочно 2-3 квартал 2025 года)Квартира в центре города - ул. Фаргона йулиОриентиры - Северный вокзал, ТЦ - Alfraganus, в 5 мин от сквера Амира Тимура.Кол-во комнат: 1Площадь: 29м2Этаж: 15 из 16Планировка: раздельнаяРемонт: черновая отделкаЗакрытый и безопасный двор без машин.Причина продажи: нужны деньги для переезда.Просьба, не серьезным и посредникам (риэлторам) не беспокоить.",,https://www.olx.uz/d/obyavlenie/ochen-srochno-nuzhny-dengi-svoya-kvartira-goldenhouse-ozmakon-1-30m2-ID40uJP.html
Частное лицо,,,,,,,,,,,,,"ОписаниеПродаётся двух комнатная квартира! 2/2/9. Адрес Юнсабад 13 квартал 5 домвсе шаговой доступности рядом школа и садик рынок Ахмад Дониш и Юнсабадский продуктовый базар(Универсам)супер маркети  Мегапланет, Карзинка и Хавас. метро Станция Юнсабад всё находится ближе 200-300 метров. Некоторые вещи остаются. квартира своя!!тел: +998909699994Юнсабад 13 кв 5дом  2/2/9 квартира сотилади. Атрофда хамма керели транспорт бозор ва супер маркетлар якин мактаб, богча Карзинка, Мегапланет, Хавас, Юнсабад дехкон бозори, универсам, Юнсабад метроси хамаси 200-300м ораликда жойлашган. Бази нарсалар колади. Уй узимники!!Тел: +998909699994",,https://www.olx.uz/d/obyavlenie/prodaetsya-yunsabad-13-kv-2-2-9-ID3Tnq4.html
Бизнес,,,,,,,,,,,,,"ОписаниеArzon va qulay kvartira sotiladi!Manzil:Chirchiq sh. 8-noxiya, Humo mahallasi, 1-uy, 33-xonadonUmumiy maydon: 30.7 kv.mYashash maydoni: 15.9 kv.m1 xonali, o‘rta holatda, saranjom va ozodaAsosiysi – joyi zo‘r!Hammasi qo‘lingizning ostida:Bog‘cha – 3 daqiqalik masofaMaktab – yaqin oraliqdaBozor – kunlik xarid uchun qulay joySayilgoh – dam olish uchun ideal joyPoliklinika – salomatlik nazoratdaKo'plab Kafe va Restoranlar.Bu kvartira – yolg‘izlar, yosh oilalar yoki sarmoyadorlar uchun a’lo tanlov!NarxI 24500 $Bog‘lanish uchun",,https://www.olx.uz/d/obyavlenie/8-kichik-noxiya-bir-xonali-kvartira-ID461vi.html
Бизнес,,,,,,,,,,,,,ОписаниеЮнусабад 13. 2в3/2/450м2.Балкон 1.5-6Комнаты смежные.Новый ЕВРО ремонт.Мебель +техника5 минут метроЦена: 66500Тел: +998934320532,,https://www.olx.uz/d/obyavlenie/yu-13-2v3-2-4-ipoteka-mebel-tehnika-ID3X14o.html
Бизнес,,,,,,,,,,,,,"ОписаниеЯнги Уйлар ( Новостройка )2-хона 46 кв.м янги ремонтКадастр хужжатлари тайёр !Нархи: 50.000$Кредит йуқ ,ипотека йуқ ,Субсидия йу́қМанзил: Тошкент шахар,Миробод туманиМу́ллжал: Файзабод махалласи, ГАИМалумот учун телефон :+998(97)709-9997+998(97)788-6666",,https://www.olx.uz/d/obyavlenie/yangi-uylar-novostroyka-2-hona-46-kv-m-yangi-remont-fayzabod-gai-ID401uS.html
Бизнес,,,,,,,,,,,,,ОписаниеХоналар сони: #3хКават:3Уйнинг каватлар сони:5Манзил:АерапортКурилиш тури:ПонелнийХоналар жойлашуви:АлохидаУмумий майдони:85Холати:ЕвроНархи:46.900$Тел:97-309-88-38 / 91-979-7447Иккиламчи кридитга хам берилади!,,https://www.olx.uz/d/obyavlenie/3-honalik-kvartira-3-etazh-shark-1-aeroport-ID3YHHL.html
Бизнес,,,,,,,,,,,,,ОписаниеИпатека тоже можна ИПАТЕКА ТЎГРИ КЕЛАДИ Продажа Юнус абад БАХТ КАСРИ комплекс Навастройка керпич Голден Хаус СВАЯ,,https://www.olx.uz/d/obyavlenie/prodazha-yunus-abad-17kvartal-svaya-ID43rIq.html
Частное лицо,,,,,,,,,,,,,"ОписаниеУрганч шахар Марказида, Миллий банк йонида Лучевая кучасинда 2 этажли Пишган карвучдан курилган домнинг 2-этажинда 1 хонали квартира айрим жихозлари билан Сотилади. Ремонти яхши акфа ойналар куйилган, яшаш учун хамма шароитлар [газ, свет,сув) бор. Кушнилар жуда яхши. Бир этажда  3 та хужалик.Подезд чистая, акуратний. Мактаб, бокча,дуконла, Миллий банк, айрапорт, вогзал, Гипермаркет, бозор бир одим. Шахарни маркази. жудахам яхши жой ховоси тозо, дарахтла  куп. Тел:+998999665601",,https://www.olx.uz/d/obyavlenie/pishgan-karvuchdan-1-honoli-kvartira-ID3Gpe9.html
Бизнес,,,,,,,,,,,,,ОписаниеНОВОСТРОЙКА 3/8/9ЖК NURNAMUNA DEVELOPMENTОриентир: Алайский базарОбщая площадь: 86.61 м2 + 11.4 м2 балконСостояние: новый ремонтТеплый полПанорамные окнаДва балконаКадастр естьдва санузлаЦЕНА: 145 000 y.e.+998978770077 Алексей,,https://www.olx.uz/d/obyavlenie/zhk-nur-3-komnaty-alayskiy-bazar-86m2-kadastr-est-ID45rij.html
Бизнес,,,,,,,,,,,,,"ОписаниеХоналар сони: #3хКават: 6 + лифтУйнинг каватлар сони: 9Манзил: бухара сити, латтикоКурилиш тури: кирпичныйХоналар жойлашуви: алохидаУмумий майдони: 90 квмХолати: евроремонт, жихозлари коладиНархи: 67.000$Тел:91-246-7447 / 91-979-7447",,https://www.olx.uz/d/obyavlenie/3-honalik-kvartira-6-etazh-yangi-liftlik-dom-buhara-siti-lattiko-ID436yZ.html
Бизнес,,,,,,,,,,,,,ОписаниеБуюк Ипак Йули.Жк Sayram.Комнат 2Этаж    6Этажность 9Общая площадь:55м2ЦЕНА: 68.000 у.е+998900131730https://t.me/M_UlugbekM2#2ком,,https://www.olx.uz/d/obyavlenie/prodaetsya-2-6-9-buyuk-ipak-yuli-maksim-gorkiy-ID452jS.html
Бизнес,,,,,,,,,,,,,ОписаниеСУПЕР КВАРТИРАЧил 19 квартал 2в3/3/41.5*3 балКомната смежныйСанузел разделныйЕвро ремонтМебель  + Техника УпаковкаПанельный домНе торецДом вдоль дорогиОр-р 50/50 Мойка ( WhatsApp )Общая площадь: 48м2Балкон:1.5*3Цена: 70.000$Тел +998908118991Тел +998908218444Лучшие предложение по городу ташкентаhttps://t.me/arzonuylartoshkent1,,https://www.olx.uz/d/obyavlenie/prodaetsya-super-kvartira-3-kom-kvartira-vdol-dorogi-ID46fUa.html
Бизнес,,,,,,,,,,,,,"Описание3/9/9 втоичкаСЕБЗАРРайон: АлмазарскийОр-р: Ривьера , ГангаПлощадь: 72м²Состояние: без ремонтаКрасивый вид из окна на мечетьЦена: 70.000Можно в ипотеку+998770033129",,https://www.olx.uz/d/obyavlenie/3h-kom-70m2-prodam-kvartiru-sebzar-ganga-rivera-ID452jQ.html
Частное лицо,,,,,,,,,,,,,"ОписаниеКвартира для тех, кто любит комфорт! Центральная отопление!  Вокруг — зелёные дворы, детские и спортивные площадки, свободная парковка.Метро Чинор и Кипчок в 10 минутах пешей прогулки, автобусная остановка — 5 минутах пешком.Рядом 37-я  поликлиника и 1-й Роддом за одним домом!Школа и детский сад пеший доступности !4-х этажный дом1-этаж отдельным подвалом58 м² - Жилая площадь2-комнаты переделанные 3-х комнатнуюКухня со совей мебельюСан узел раздельныйТехника договорнаяСвежий ремонт,Соседи хорошие,Очень тихий и комфортный район,Вокруг много магазинов и аптек,Форма оплаты наличные или ипотека, договорная!Сейсмика гарантия СССР!Qulaylikni yaxshi ko'radiganlar uchun kvartira! Markaziy isitish! Atrofda yashil hovlilar, bolalar va sport maydonchalari, bepul avtoturargoh mavjud.Metro Chinor va Kipchok 10 daqiqalik piyoda, avtobus bekati 5 daqiqalik piyoda.Yaqin atrofda 37-poliklinika va bitta uyning orqasida 1-Kasalxona bor!Maktab va bolalar bog'chasi yurish imkoniyati !4 qavatli uy1-qavat alohida podval58 m2 yashash maydoni2-xonalar qayta ishlangan 3 xonaliBoyqush mebellari bilan oshxonaSan uzel alohidaShartnoma texnikasiYangi ta'mirlash,Qo'shnilar yaxshi,Juda sokin va qulay mahalla,Atrofda ko'plab do'konlar va dorixonalar mavjud,To'lov shakli naqd pul yoki ipoteka, shartnoma asosida!Seysmik SSSR kafolati!",,https://www.olx.uz/d/obyavlenie/kvartira-2-h-komnatnaya-2-xonali-kvartira-uy-ID3XBK9.html
Частное лицо,,,,,,,,,,,,,ОписаниеПродается 3 комнатная квартира в Юнусабаде 14 квартал 5 этаж локация очень удобная.,,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-3-h-komnatnaya-kvartira-v-yunusabade-14-kvartal-ID45Ytm.html
Частное лицо,,,,,,,,,,,,,ОписаниеСотиш учун 3 (уч) Учқудуқдаги 2 қаватли бинонинг 4-қаватида хона хона. Манзилда жойлашган 11 микрораён 19 уй.Ипотека билан сотиш мумкин.Продается 3 (трех) комнатная квартира на 2 этаже 4-х этажного дома в городе Учкудук. Расположенная по адресу 11 микрорайон 19 Дом.Возможно продажа в ИПОТЕКУ.,,https://www.olx.uz/d/obyavlenie/prodaetsya-3-h-komnatnaya-kvartira-v-uchkuduke-ID3JXh4.html
Бизнес,,,,,,,,,,,,,ОписаниеA0115Чилонзор Алгоритм4 хонали квартира 4 каватли домни 4чи этажидаРесторан Зархал ориентерКвартира файзли бозорлар иподром йонида бор96м285 000$99 394 36 66,,https://www.olx.uz/d/obyavlenie/4-honali-kvartira-sotiladi-chilonzor-algoritm-balkon-2h6-kapital-remont-ID3YloA.html
Частное лицо,,,,,,,,,,,,,"ОписаниеКвартира собственная,без маклер и риэлторских услугКвадратура: 142.кв.м2 напротив двушка соединены в одну огромнуюВ квартире остается вся кухонная гарнитура (уголок не входит)спальная мебель полностью остаетсяВ Квартире имеется маленькая кладовая,2 сан-узла,один прям в спальневторой для детей3Кондиционера,Аристон,Котел,теплый пол!Зимой нет проблем с отоплением,может в любое время сами регулировать температуру воды ,и отопления в квартирекирпичныйдом,год 20165 микрорайон,напротив сагдианы рублевкастоимость 65.000$Остальные подробности по номеру+998913115666+998918232343+998 90-998-02-57",,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-v-pyatom-mikrarayone-ID468To.html
Бизнес,,,,,,,,,,,,,ОписаниеСвая !!!Район: ОлмазорКўча: КалановаМулжал: Тансикбоев-3Хоналар сони: 3/2/4Майдони: 65 квмҲолати: ЯхшиБалкон: 2х677 серияБаҳоси: 61000 $Қўнғироқ килинг:+998935072657,,https://www.olx.uz/d/obyavlenie/kvartira-sotiladi-olmazor-rayon-kucha-kalonova-3-2-4-65m2-ID452jE.html
Бизнес,,,,,,,,,,,,,"ОписаниеРайон: ШайхантахурОриентир: Мечеть Koh Ota, СебзарЖК Koh-OtaЗастройщик: Bazis-TКадастр: Есть2/3/8Квадратура: 67м2Евро ремонтПланировка: Раздельнаяс/у: 2 санузлаКирпичный домЦена: 100 000 у.е.Саида +998952258855",,https://www.olx.uz/d/obyavlenie/kvartira-v-novostroyke-koh-ota-2-3-8-67m2-evro-remont-sebzar-ID45Qms.html
Бизнес,,,,,,,,,,,,,Описание2 хонали2 етаж4 етажкали дом50 кв.мЮНУСОБОД  15 квартал Метро ТуркистонНархи 56 500 $,,https://www.olx.uz/d/obyavlenie/2-honali-kvartira-sotiladi-yunusobod-ID452jA.html
Бизнес,,,,,,,,,,,,,"ОписаниеЯккасарайский районЖК ""Prestige Gardens""Ул. ШОТА РУСТАВЕЛИДом Business Class2/13/14, 30м²С новым ремонтом.Никто не жил.Имеется большая детская площадка во дворе.И большой приватный паркинг.Охрана 24/7Есть возможность заселить арендатора за 700$ и сделать квартиру готовым бизнесом.Тел. +998930098886 Дмитрий",,https://www.olx.uz/d/obyavlenie/zhk-prestige-gardens-studiya-shota-rustaveli-ID452jy.html
Бизнес,,,,,,,,,,,,,"ОписаниеКвартира: 2в3/1/4 массив ЯлангачОбщая площадь: 45 м² (по кадастру)общее -65мТип: панельныйСанузел: РаздельныйМебель: Есть, по согласованиюПланировка: СмежнаяРемонт: Авторский проектИпотека: возможнаЦена: 63.000 у.е.Ориентир: рядом спорткомплекс ""Умид"", ЧимганЦена снижена!Срочно! Успейте купить по выгодной цене!Подробнее по телефону: +998975030670 Ангелина",,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-kvartira-2-v-3-1-4-massiv-yalangach-ID45rhZ.html
Бизнес,,,,,,,,,,,,,"ОписаниеЭЛИТНЫЙ КОМПЛЕКС""WISTON"" бизнес классаНиёзбек йули улица(ор.Ирригационный инстНовомосковская улицаМирзо Улугбекский район3/8/10; площадь 73м2Состояние: Евро ЛЮКСМебелью и ТЕХНИКОЙЦЕНА: 180.000у.е+998900070022",,https://www.olx.uz/d/obyavlenie/elitnyy-kompleks-wiston-biznes-klassa-irrigatsiya-institut-3-8-10-ID46fTU.html
Бизнес,,,,,,,,,,,,,ОписаниеНомер +998900071888Чиланзар 3 квартал Продается квартира1/3/4Ремонт: ЕвроОриентир: Клиника ЭстимедТип строения: ПанельПлощадь: 30м²Сан.узел: совмещеныйТёплый полТехника: ЕстьМебель: Есть,,https://www.olx.uz/d/obyavlenie/1-komnatnaya-chilanzar-3metro-m-ulugbek-ID46fTT.html
Бизнес,,,,,,,,,,,,,"ОписаниеУникальное предложение в престижном ЖК Solaris — Евро-Люкс на высоком этаже!Продается стильная и уютная двухкомнатная квартира с раздельной планировкой и дизайнерским евроремонтом ""под ключ"". Прекрасный вариант для комфортной жизни или выгодной аренды!Жилой комплекс: SolarisКадастр: естьПлощадь: 58 м²Комнат: 2Планировка: раздельнаяЭтаж: 8 из 10Состояние: Евро-Люкс, заходи и живиОриентир: улица Шота Руставели, район Кушбеги — транспорт, магазины, школы в шаговой доступности.Цена снижена: 91 500 у.е — не упустите шанс!Подробности по телефону:Данил — +998 77 101 00 18",,https://www.olx.uz/d/obyavlenie/zhk-solaris-2-komnatnaya-evroremont-pod-klyuch-na-yakkasarae-kushbegi-ID46fTS.html
